name,conference,year,role
Jair C. Leite,icsa,2019,core
Andrij Usov,icsa,2019,core
Ali Osman Ors,icsa,2019,core
Jorge Pereira,icsa,2019,core
Uwe Hohenstein,icsa,2019,core
Axel Busch,icsa,2019,core
Ibrahim Habli,icsa,2019,core
Robert Chatley,icsa,2019,core
Guido Loupias,icsa,2019,broker
Felix Lösch,icsa,2019,core
Jean-Philippe Gouigoux,icsa,2019,broker
Gerhard Wirrer,icsa,2019,core
Ivano Malavolta,icsa,2019,core
Lars Stockmann,icsa,2019,core
Thomas Kuhn 0001,icsa,2019,core
Felix Schulte-Langforth,icsa,2019,core
Rebecca Wirfs-Brock,icsa,2019,broker
Pieter J. L. Cuijpers,icsa,2019,core
Elvinia Riccobene,icsa,2019,core
Vadim Cebotari,icsa,2019,broker
Jose Carlos Moreno-Herranz,icsa,2019,core
Albert Zündorf,icsa,2019,core
François Georis,icsa,2019,core
An Binh Tran,icsa,2019,core
Tobias Boceck,icsa,2019,core
Sören Henning,icsa,2019,core
Sven Laux,icsa,2019,core
Peng Liang 0001,icsa,2019,core
Shanshan Li 0002,icsa,2019,core
Rodrigo Pereira dos Santos,icsa,2020,broker
Emanuel F. Coutinho,icsa,2020,broker
Javier Cámara 0001,icsa,2020,broker
Thomas Kuhn 0001,icsa,2020,broker
Romina Spalazzese,icsa,2020,broker
Fahed Alkhabbas,icsa,2020,broker
Paulo Henrique M. Maia,icsa,2020,broker
Paulo Merson,icsa,2020,broker
Javam C. Machado,icsa,2020,core
Leonardo O. Moreira 0001,icsa,2020,core
Karthik Vaidhyanathan,icsa,2020,core
Carlos S. S. Marinho,icsa,2020,core
Henry Muccini,icsa,2020,core
Iohan Gonçalves Vargas,icsa,2020,core
Rosana T. Vaccare Braga,icsa,2020,core
Gastón Márquez,icsa,2020,core
Hernán Astudillo,icsa,2020,core
Xiao Wang 0030,icsa,2020,core
Bihuan Chen 0001,icsa,2020,core
Yutong Zhao,icsa,2020,core
Yan Liu,icsa,2020,core
Lu Xiao 0001,icsa,2020,core
Patrizio Pelliccione,icsa,2020,core
Diogo Eliseu Paulo,icsa,2020,core
Carla I. M. Bezerra,icsa,2020,core
Darío Correal,icsa,2020,core
José Neuman de Souza,icsa,2020,core
Kang Chen,icsa,2020,core
Jean-Philippe Stoldt,icsa,2020,broker
Arlindo F. da Conceição,icsa,2020,core
Gleison Brito,icsa,2020,broker
Jing Sun 0002,icsa,2020,core
Djalma Antony Rodrigues,icsa,2020,core
Valdemar Vicente Graciano Neto,icsa,2020,core
Frank Schnicke,icsa,2020,core
Felipe Pinto,icsa,2020,core
Carlos M. Aderaldo,icsa,2020,core
Saad Mubeen,icsa,2020,core
Nguyen Khoi Tran 0001,icsa,2020,broker
Vladimir Rocha 0001,icsa,2020,core
Hans-Martin von Stockhausen,icsa,2020,broker
Marcio N. P. Silva,icsa,2020,core
Christoph Segler,icsa,2020,core
Anfel Selmadji,icsa,2020,core
José S. Costa Filho,icsa,2020,core
Sabrina Marczak,icsa,2020,core
John Lundbäck,icsa,2020,core
Zhifei Chen,icsa,2020,core
Gianna Reggio,icsa,2020,core
Sangeeth Kochanthara,icsa,2020,core
Susanne Braun,icsa,2020,broker
Joanna C. S. Santos,icsa,2020,core
Mark G. J. van den Brand,icsa,2020,core
Daniel Brahneborg,icsa,2020,broker
Patrícia Pitthan Barcelos,icsa,2020,core
Anderson Tavares Queiroz Afonso,icsa,2020,core
Thomas Hubregtsen,icsa,2020,core
Nataraj Kuntagod,icsa,2020,core
Sebastián Vergara,icsa,2020,core
Pascal Zaragoza,icsa,2020,core
