name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Jian Zhang,Jin Zhang 0003,jian zhang,jin zhang,0.947,0,
Jian Zhang 0001,Jin Zhang 0003,jian zhang,jin zhang,0.947,0,
Jian Zhang 0016,Jin Zhang 0003,jian zhang,jin zhang,0.947,0,
Jian Zhang 0087,Jin Zhang 0003,jian zhang,jin zhang,0.947,0,
Xin Zhang,Xing Zhang,xin zhang,xing zhang,0.947,0,
Xin Zhang 0035,Xing Zhang,xin zhang,xing zhang,0.947,0,
Yan Zhang,Yang Zhang,yan zhang,yang zhang,0.947,0,
Yan Zhang,Yang Zhang 0021,yan zhang,yang zhang,0.947,0,
Yan Zhang,Yang Zhang 0026,yan zhang,yang zhang,0.947,0,
Yan Zhang,Yang Zhang 0037,yan zhang,yang zhang,0.947,0,
Yan Zhang,Yuan Zhang 0009,yan zhang,yuan zhang,0.947,0,
Yuan Zhang 0009,Yun Zhang 0011,yuan zhang,yun zhang,0.947,0,
Yue Zhang 0025,Yule Zhang,yue zhang,yule zhang,0.947,0,
Yue Zhang 0051,Yule Zhang,yue zhang,yule zhang,0.947,0,
Xinyu Liu,Xinyue Liu 0005,xinyu liu,xinyue liu,0.947,0,
Chong Wang,Cong Wang 0020,chong wang,cong wang,0.947,0,
Chong Wang 0013,Cong Wang 0020,chong wang,cong wang,0.947,0,
Jian Wang 0067,Jiang Wang,jian wang,jiang wang,0.947,0,
Jiang Wang,Jing Wang,jiang wang,jing wang,0.947,0,
Xiao Wang 0030,Xizao Wang,xiao wang,xizao wang,0.947,0,
Zhen Wang,Zheng Wang 0001,zhen wang,zheng wang,0.947,0,
Zhen Wang 0013,Zheng Wang 0001,zhen wang,zheng wang,0.947,0,
Chen Chen 0001,Cheng Chen,chen chen,cheng chen,0.947,0,
Yuan Chen,Yupan Chen,yuan chen,yupan chen,0.947,0,
Yueqi Chen 0001,Yuqi Chen 0001,yueqi chen,yuqi chen,0.947,0,
Yuan Zhou 0005,Yunan Zhou,yuan zhou,yunan zhou,0.947,0,
Jungho Kim,Junho Kim,jungho kim,junho kim,0.947,0,
Chao Yang 0016,Hao Yang 0006,chao yang,hao yang,0.941,0,
Dan Yang 0001,Dian Yang,dan yang,dian yang,0.941,0,
Hao Yang 0006,Shao Yang,hao yang,shao yang,0.941,0,
Zhen Yan,Zheng Yan 0002,zhen yan,zheng yan,0.941,0,
Baowen Xu,Bowen Xu,baowen xu,bowen xu,0.941,0,
Jinwei Xu,Jiwei Xu,jinwei xu,jiwei xu,0.941,0,
Yan Xiao 0002,Yang Xiao 0011,yan xiao,yang xiao,0.941,0,
Lei Zhang,Li Zhang 0029,lei zhang,li zhang,0.941,0,
Lei Zhang 0078,Li Zhang 0029,lei zhang,li zhang,0.941,0,
Lei Zhang 0096,Li Zhang 0029,lei zhang,li zhang,0.941,0,
Ru Zhang,Rui Zhang,ru zhang,rui zhang,0.941,0,
Xi Zhang,Xin Zhang,xi zhang,xin zhang,0.941,0,
Xi Zhang,Xin Zhang 0035,xi zhang,xin zhang,0.941,0,
Yu Zhang 0030,Yue Zhang 0025,yu zhang,yue zhang,0.941,0,
Yu Zhang 0030,Yue Zhang 0051,yu zhang,yue zhang,0.941,0,
Yu Zhang 0030,Yun Zhang 0011,yu zhang,yun zhang,0.941,0,
Yu Zhang 0036,Yue Zhang 0025,yu zhang,yue zhang,0.941,0,
Yu Zhang 0036,Yue Zhang 0051,yu zhang,yue zhang,0.941,0,
Yu Zhang 0036,Yun Zhang 0011,yu zhang,yun zhang,0.941,0,
Yu Zhang 0177,Yue Zhang 0025,yu zhang,yue zhang,0.941,0,
Yu Zhang 0177,Yue Zhang 0051,yu zhang,yue zhang,0.941,0,
Yu Zhang 0177,Yun Zhang 0011,yu zhang,yun zhang,0.941,0,
Yu Huang,Yue Huang,yu huang,yue huang,0.941,0,
Yu Huang 0015,Yue Huang,yu huang,yue huang,0.941,0,
Zhibo Liu,Zibo Liu,zhibo liu,zibo liu,0.941,0,
Chao Wang,Hao Wang 0112,chao wang,hao wang,0.941,0,
Chao Wang 0001,Hao Wang 0112,chao wang,hao wang,0.941,0,
Chao Wang 0113,Hao Wang 0112,chao wang,hao wang,0.941,0,
Han Wang 0023,Huan Wang,han wang,huan wang,0.941,0,
Yan Wang,Yang Wang 0049,yan wang,yang wang,0.941,0,
Yan Wang,Yang Wang 0167,yan wang,yang wang,0.941,0,
Yan Wang,Yuan Wang 0008,yan wang,yuan wang,0.941,0,
Yan Wang 0125,Yang Wang 0049,yan wang,yang wang,0.941,0,
Yan Wang 0125,Yang Wang 0167,yan wang,yang wang,0.941,0,
Yan Wang 0125,Yuan Wang 0008,yan wang,yuan wang,0.941,0,
Ang Chen 0001,Kang Chen,ang chen,kang chen,0.941,0,
Ang Chen 0001,Yang Chen,ang chen,yang chen,0.941,0,
Ang Chen 0001,Yang Chen 0059,ang chen,yang chen,0.941,0,
Chao Chen,Hao Chen,chao chen,hao chen,0.941,0,
Zeheng Li,Zheng Li 0001,zeheng li,zheng li,0.941,0,
Zeheng Li,Zheng Li 0035,zeheng li,zheng li,0.941,0,
Zhihao Li,Zihao Li 0001,zhihao li,zihao li,0.941,0,
Ang Zhou,Fang Zhou,ang zhou,fang zhou,0.941,0,
Yan Zhou,Yuan Zhou 0005,yan zhou,yuan zhou,0.941,0,
Jian Dong 0010,Jin Song Dong 0001,jian dong,jin dong,0.941,0,
Shafiul Azam Chowdhury,Shaiful Alam Chowdhury,shafiul chowdhury,shaiful chowdhury,0.941,0,
